feature_label,feature_name,feature_count
0.1,file_num,1604
0.2,line_num,392615
0.3,macros,1587
0.4,def_functions,17517
0.5,def_classes,1018
0.6,def_variables,99495
1.1,TEMPLATE_stl,566
1.2,TEMPLATE_template,1109
1.3,TEMPLATE_lambda,3824
1.4,TEMPLATE_namespace,3796
1.5,TEMPLATE_macroconcat,171
2.1,CONCURRENCY_thread_local,43
2.2,CONCURRENCY_volatile,2
3.1,MEMORY_destructor,393
3.2,MEMORY_smartptr,1024
3.3,MEMORY_directinit,12013
4.1,EXCEPTION_trycatch,353
4.2,EXCEPTION_noexcept,279
5.1,POLYMORPHISM_nestedclass,5
5.2,POLYMORPHISM_operator,614
5.3,POLYMORPHISM_function_overload,5524
5.4,POLYMORPHISM_virtual_override,1088
5.5,POLYMORPHISM_castconvert,1823
6.1,REFERENCE_friend,58
6.2,REFERENCE_this,1797
6.3,REFERENCE_using,496
7.1,FUNCTION_variparams,344
8.1,TYPESYS_typedef,124
8.2,TYPESYS_union,11
8.3,TYPESYS_decltype,103
8.4,TYPESYS_using,809
8.5,TYPESYS_constexpr,456
